Quantity;Designators;Value;Device;Package;PARTNUMBER;DIGIKEY;MANUFACTURER
1;?1;Made At Coredump;Logo Coredump;Logo Coredump 3.4mm;;;
1;BT1;54;Keystone 54 Battery Clips;KEYSTONE_54;54;36-54-ND;Keystone
2;C1, C2;1μF;C-0805;C-0805;CL21B105KOFNNNG;1276-6471-1-ND;Samsung
4;C3, C4, C5, C8;100nF;C-0805;C-0805;CL21B104KACNNNC;1276-1099-1-ND;Samsung
2;C6, C7;4.3pF;C-0603;C-0603;CC0603CRNPO9BN4R3;311-3858-1-ND;Yageo
1;J1;UART1_DBG;Generic Pin Socket 2.54mm 1x03 ⌀1.0mm;Pin Socket 2.54mm 1x03 ⌀1.0mm;PPTC031LFBN-RC;S7001-ND;Sullins
1;J2;I2C;Generic Pin Socket 2.54mm 1x04 ⌀1.0mm;Pin Socket 2.54mm 1x04 ⌀1.0mm;PPTC041LFBN-RC;S7002-ND;Sullins
1;J3;RN;Generic Pin Socket 2.54mm 1x07 ⌀1.0mm;Pin Socket 2.54mm 1x07 ⌀1.0mm;PPTC071LFBN-RC;S7005-ND;Sullins
1;J4;DS18B20;Soldered Wire Connector 2.54mm 1x03 ⌀1.0mm;Soldered Wire Connector 1x03 ⌀1.0mm;DFR0198;DFR0198;DFRobot
1;J5;SWD Connector 3220-10-0300-00;CNC Tech 3220-10-0300;CNCTECH_3220-10-0300-XX;3220-10-0300-00;1175-1629-ND;CNC Tech
1;J6;Micro USB (power only);Molex 1051330001;MOLEX_1051330001;1051330001;WM9734CT-ND;Molex
1;J7;Power Selector Jumper;Generic Pin Header 2.54mm 2x03 ⌀1.0mm;Pin Header 2.54mm 2x03 ⌀1.0mm;PRPC003DAAN-RC;S2011EC-03-ND;Sullins
1;J7+;Power Selector Jumper;;;QPC02SXGN-RC;S9337-ND;Sullins
1;J8;SMA 142-0701-801;Cinch Connectivity Solutions 142-0701-801;CINCH_142-0701-80X;142-0701-801;J502-ND;Cinch Connectivity Solutions
1;JP1;RN_NRST;Solder Jumper 2P;Solder Jumper 2P;;;
1;JP2;;Solder Jumper 2P;Solder Jumper 2P;;;
1;LED1;R 2V 2.8mA;OSRAM LS R976-NR-1;OSRAM CHIPLED 0805 Diffused;LS R976-NR-1;475-1278-1-ND;Osram
1;LED2;Y 2V 2.8mA;OSRAM LY R976-PS-36;OSRAM CHIPLED 0805 Diffused;LY R976-PS-36;475-2560-1-ND;Osram
1;LED3;G 2.2V 2.3mA;OSRAM LG R971-KN-1;OSRAM CHIPLED 0805 Diffused;LG R971-KN-1;475-1410-1-ND;Osram
1;LOGO1;Made With LibrePCB;LibrePCB Logo;LibrePCB Logo;;;
1;Q1;SSM3J338R,LF;Toshiba SSM3J338R;SOT23-3;SSM3J338R,LF;SSM3J338RLFCT-ND;Toshiba
1;Q2;DMG6601LVT;DMG6601LVT;SOT95P280X145-6;DMG6601LVT;DMG6601LVT-7DICT-ND;Diodes Incorporated
1;Q3;32,768Hz;NX3215SA Crystal;NDK_NX3215SA;NX3215SA-32.768KHZ-EXS00A-MU00529;644-1388-1-ND;NDK
6;R1, R2, R3, R6, R7, R12;10kΩ;Resistor 2012 (0805);RESC2012 (0805);RC0805JR-0710KL;311-10KARCT-ND;Yageo
1;R4;6.04kΩ 0.1%;Resistor 2012 (0805);RESC2012 (0805);RC0805FR-076K04L;311-6.04KCRCT-ND;Yageo
1;R5;9.31kΩ 0.1%;Resistor 2012 (0805);RESC2012 (0805);RC0805FR-079K31L;311-9.31KCRCT-ND;Yageo
3;R8, R9, R10;470Ω;Resistor 2012 (0805);RESC2012 (0805);RC0805JR-07470RL;311-470ARCT-ND;Yageo
1;R11;4.7kΩ;Resistor 2012 (0805);RESC2012 (0805);RC0805JR-074K7L;311-4.7KARCT-ND;Yageo
1;S1;KXT 321 LHS;KXT3x1LHS;CK_KXT3x1LHS;KXT 321 LHS;CKN10778CT-ND;C&K
1;U1;STM32L071KBT6;STM32L071KxTx;LQFP80P900X900X140-32;STM32L071KBT6;497-18577-ND;ST Microelectronics
1;U2;RN2483A-I/RM105;RN2483;RN2483;RN2483A-I/RM105;RN2483A-I/RM105-ND;Microchip
1;U3;LP5907QMFX-3.3Q1;LP5907-Q1;SOT95P280X145-5;LP5907QMFX-3.3Q1;296-40365-1-ND;Texas Instruments
1;U4;SHTC3;SHTC3;Sensirion SHTCx;SHTC3;1649-1100-1-ND;Sensirion
